X,Y,y1,y2,y3,y4,y5,y6,y7,y8
1484.81,3404.41,1486.72,3318.42,1488.64,3226.48,1490.55,3177.28,,
1492.46,3151.56,1494.38,3124.93,1496.29,3111.4,1498.2,3099.52,1500.12,3099.13
1502.03,3124.22,1503.94,3112.79,1505.86,3053.4,1507.77,3092.86,1509.68,3073.2
1511.6,3085.23,1513.51,3051.77,1515.42,3022.97,1517.34,3018.81,1519.25,3011.48
1521.16,2978.8,1523.08,2944.15,1524.99,2938.96,1526.9,2930.4,1528.82,2907.73
1530.73,2919.52,1532.64,2887.75,1534.56,2839.37,1536.47,2861.79,1538.38,2877.5
1540.3,2858.29,1542.21,2873.3,1544.12,2894.52,1546.04,2890.17,1547.95,2846.14
1549.86,2833.17,1551.78,2875.66,1553.69,2893.01,1555.6,2886.58,1557.52,2923.94
1559.43,2897.62,1561.34,2880.96,1563.26,2880.05,1565.17,2911.09,,
1567.08,2961.44,1569,2961.53,1570.91,2953.61,1572.82,2963.33,1574.74,3011.51
1576.65,3037.89,1578.56,3003.29,1580.48,3015.94,1582.39,3033.57,1584.3,3008.65
1586.22,3015.48,1588.13,3025.6,1590.05,3044.94,1591.96,2998.34,1593.87,2996.29
1595.79,3005.3,1597.7,2960.78,1599.61,3027.33,1601.53,3050.7,1603.44,3071.53
1605.35,3078.53,1607.27,3136.46,1609.18,3168.59,1611.09,3214.48,,
1613.01,3256.46,1614.92,3284.54,1616.83,3305.62,1618.75,3300.21,,
1620.66,3284.09,1622.57,3286.51,1624.49,3244.82,1626.4,3116.38,1628.31,3176.12
1630.23,3143.13,1632.14,3081.2,1634.05,3074.09,1635.97,3056.14,1637.88,3058.82
1639.79,3082.42,1641.71,3097.37,1643.62,3101.53,1645.53,3151.74,,
1647.45,3155.66,1649.36,3134.48,1651.27,3089.09,1653.19,3069.97,1655.1,3084.19
1657.01,3046.31,1658.93,3016.98,1660.84,3003.63,1662.75,2961.72,,
1664.67,2916.36,1666.58,2928,1668.49,2870.72,1670.41,2853.86,1672.32,2841.28
1674.23,2791.48,1676.15,2797.08,1678.06,2795.25,1679.97,2748.61,1681.89,2760.5
1683.8,2747.08,1685.71,2701.58,1687.63,2701.72,1689.54,2705.43,1691.45,2683.93
1693.37,2689.18,1695.28,2686.37,1697.19,2627.45,1699.11,2616.53,,
1701.02,2662.36,1702.93,2620.31,1704.85,2625.31,1706.76,2590.63,,
1708.67,2615.96,1710.59,2623.3,1712.5,2634.5,1714.41,2607.75,1716.33,2596.25
1718.24,2605.09,1720.16,2618,1722.07,2624.21,1723.98,2606.65,1725.9,2577.04
1727.81,2567.78,1729.72,2603.53,1731.64,2599.08,1733.55,2580.28,,
1735.46,2603.91,1737.38,2605.52,1739.29,2581.16,1741.2,2602.2,1743.12,2621.72
1745.03,2584.45,1746.94,2560.58,1748.86,2597.7,1750.77,2565.75,1752.68,2563.79
1754.6,2536.13,1756.51,2563.68,1758.42,2522.4,1760.34,2514.88,1762.25,2468.63
1764.16,2499.98,1766.08,2481.21,1767.99,2430.64,1769.9,2482.51,1771.82,2473.73
1773.73,2471.81,1775.64,2476.02,1777.56,2469.08,1779.47,2474.24,,
1781.38,2444.46,1783.3,2457.54,1785.21,2483.07,1787.12,2482.06,1789.04,2493
1790.95,2490.87,1792.86,2479.04,1794.78,2475.06,1796.69,2463.82,1798.6,2449.49
1800.52,2450.32,1802.43,2410.48,1804.34,2411.67,1806.26,2427.62,,
1808.17,2449.12,1810.08,2403.02,1812,2385.47,1813.91,2412,1815.82,2412.87
1817.74,2409.76,1819.65,2409.59,1821.56,2382.48,1823.48,2404.59,,
1825.39,2487.45,1827.3,2392.84,1829.22,2344.65,1831.13,2340.68,1833.04,2332.08
1834.96,2330.61,1836.87,2420.39,1838.78,2437.01,1840.7,2366.77,1842.61,2329.63
1844.52,2325.14,1846.44,2309.87,1848.35,2281.32,1850.26,2273.47,,
1852.18,2279.42,1854.09,2284.44,1856.01,2280.76,1857.92,2253.26,,
1859.83,2267.96,1861.75,2247.17,1863.66,2259.48,1865.57,2262.38,,
1867.49,2233.12,1869.4,2262.23,1871.31,2235.78,1873.23,2247.74,1875.14,2235.35
